ts,price_y,volume_y,price_x,volume_x,spread,zscore,corr
16-12-2025 19:52,86914.936,0.24093,2929.284729,25.1922,3112.162805,-1.501007058,-0.11766535
16-12-2025 19:52,86924.982,0.80667,2929.772075,27.2334,3108.266501,-1.623925279,-0.09673807
16-12-2025 19:52,86947.61418,0.62268,2930.616561,4.2922,3106.739121,-1.612467079,-0.035489923
16-12-2025 19:52,86959.92463,0.35937,2931.380315,18.4228,3097.199599,-1.924722946,0.112975388
16-12-2025 19:52,86975.5584,1.01337,2932.203783,9.9546,3089.27511,-2.105692814,0.328799345
16-12-2025 19:52,86988.97397,0.72948,2932.826938,4.8025,3084.863081,-2.108807128,0.520735231
16-12-2025 19:56,86803.92784,0.87676,2928.894286,0.1633,3012.324677,-3.865272859,0.416472781
16-12-2025 19:56,86799.02167,0.08,2928.89,0.0452,3007.541112,-3.248132076,0.411987602
16-12-2025 19:56,86799.02381,0.18765,2928.79084,1.9572,3010.380075,-2.731711225,0.442273553
16-12-2025 19:56,86799.02061,0.12447,2928.445962,0.2713,3020.243382,-2.236415981,0.500812129
16-12-2025 19:56,86798.66135,0.11819,2928.233333,0.8917,3025.967114,-1.926503871,0.559502354
16-12-2025 19:56,86792.70395,0.24497,2927.957644,2.2165,3027.896807,-1.743462467,0.621063512
16-12-2025 19:56,86788.93909,0.13107,2927.636526,1.2912,3033.318694,-1.520966159,0.681416903
16-12-2025 19:56,86791.99967,0.10162,2927.955957,0.3172,3027.240779,-1.544715916,0.724049728
16-12-2025 19:56,86789.90388,0.65843,2928.225299,0.6976,3017.439494,-1.63210323,0.752746436
16-12-2025 19:56,86788.49411,0.20246,2928.540167,0.637,3007.021804,-1.714696117,0.768700188
16-12-2025 19:57,86811.15034,0.48423,2929.340927,6.12,3006.769386,-1.603696865,0.763951839
16-12-2025 19:57,86829.2684,0.14125,2930.03,0.0505,3005.174026,-1.529124546,0.745141794
16-12-2025 19:57,86829.27542,0.053,2930.071765,28.2769,3003.986218,-1.453815746,0.72350874
16-12-2025 19:57,86824.95234,1.06803,2929.741015,2.5802,3009.125439,-1.27799823,0.713255939
16-12-2025 19:57,86828.64565,0.85076,2930.051667,2.9329,3003.931424,-1.295598914,0.695720359
16-12-2025 19:57,86842.246,0.1602,2930.061429,0.5488,3017.252498,-0.989696708,0.680767057
16-12-2025 19:57,86842.24667,0.16028,2930.07,0.0068,3017.007948,-0.939935165,0.669370774
16-12-2025 19:57,86842.24829,0.49208,2930.087075,8.7126,3016.521069,-0.898037763,0.665268189
16-12-2025 19:57,86843.46265,0.26638,2930.254578,1.4278,3012.943397,-0.916356662,0.662835781
16-12-2025 19:57,86847.98929,0.16,2930.329389,3.2632,3015.329799,-0.82506702,0.673141324
16-12-2025 19:57,86847.98929,0.20738,2930.49,0.1676,3010.73495,-0.872187064,0.681468409
16-12-2025 19:57,86847.98048,0.22186,2930.496667,1.0204,3010.535416,-0.828224659,0.682918942
16-12-2025 19:57,86847.98136,0.16602,2930.49,0.0136,3010.727028,-0.776956774,0.679357349
16-12-2025 19:57,86847.984,0.16142,2930.49,11.9236,3010.729664,-0.731746923,0.684931877
16-12-2025 19:57,86847.9457,0.7354,2930.451194,5.9598,3011.801546,-0.663548086,0.696522017
16-12-2025 19:57,86842.92908,0.21336,2930.094917,2.206,3016.977534,-0.498935338,0.719388737
16-12-2025 19:57,86838.71809,1.25018,2930.082184,7.8598,3013.130809,-0.550038712,0.745522465
16-12-2025 19:57,86845.354,0.16054,2930.49,0.0136,3008.099664,-0.639591073,0.773114516
16-12-2025 19:57,86845.356,0.16026,2930.49,0.0136,3008.101664,-0.60204597,0.806599456
16-12-2025 19:57,86840.95114,0.91824,2930.127725,10.842,3014.060982,-0.379313496,0.845939828
16-12-2025 19:57,86832.95646,0.13052,2929.654,0.024,3019.618923,-0.130303936,0.880075143
16-12-2025 19:57,86830.04441,0.30736,2929.559752,4.8244,3019.403177,-0.054583994,0.904314315
16-12-2025 19:57,86818.05796,0.34706,2929.36,0.024,3013.13136,-0.276027591,0.917572435
16-12-2025 19:57,86816.18005,0.98362,2929.60564,13.8248,3004.226019,-0.830733971,0.92097561
16-12-2025 19:57,86826.83429,0.16956,2930.09,2.541,3001.023395,-1.672393613,0.960751625
16-12-2025 19:57,86830.57913,0.27502,2930.291503,5.825,2999.003504,-1.798971742,0.956494774
16-12-2025 19:57,86838.70895,0.26658,2930.490606,3.7702,3001.437273,-1.42945456,0.956524437
16-12-2025 19:57,86840.06983,0.38152,2930.573542,3.0252,3000.425481,-1.471880176,0.95512223
16-12-2025 19:57,86842.08552,0.10622,2930.7,0.0034,2998.823373,-1.552926569,0.950706941
16-12-2025 19:57,86847.86664,0.6834,2930.912802,51.152,2998.516516,-1.507863443,0.947277777
16-12-2025 19:57,86857.74095,0.16698,2931.15,9.4274,3001.604932,-1.0993936,0.944225811
16-12-2025 19:57,86857.74176,0.16754,2931.15,4.421,3001.605744,-1.114396226,0.940641015
16-12-2025 19:57,86857.7485,0.1606,2931.159792,1.3362,3001.332354,-1.140653654,0.93396238
16-12-2025 19:57,86849.14236,1.15364,2930.792088,17.882,3003.245718,-0.79970628,0.91278563
16-12-2025 19:57,86836.83909,1.26206,2930.566591,0.8118,2997.393596,-1.602972953,0.866528686
16-12-2025 19:57,86836.83818,0.2022,2930.569583,2.2114,2997.307077,-1.520265881,0.835718742
16-12-2025 19:57,86836.83882,0.16486,2930.57,0.0102,2997.295799,-1.444795917,0.823571062
16-12-2025 19:57,86836.8325,0.2217,2930.446078,3.1092,3000.834699,-0.927859411,0.818208084
16-12-2025 19:57,86833.20775,0.90472,2930.163627,2.4916,3005.290484,-0.294172016,0.806832854
16-12-2025 19:57,86825.22835,0.32524,2930.155,1.355,2997.557898,-1.310629821,0.794738993
16-12-2025 19:57,86828.60667,0.18348,2930.482459,8.3798,2991.568068,-1.95739502,0.777539385
16-12-2025 19:57,86831.42041,0.67984,2930.88269,7.0706,2982.931745,-2.694967476,0.734876671
16-12-2025 19:57,86835.98835,0.20338,2930.98,0.668,2984.715797,-2.24449626,0.710850511
16-12-2025 19:57,86839.01667,0.27726,2930.99,0.1554,2987.458025,-1.785368397,0.698555424
16-12-2025 19:57,86839.01556,0.17022,2930.983333,0.2118,2987.647637,-1.647396993,0.696503018
16-12-2025 19:57,86840.1463,0.23878,2931.008,9.1898,2988.072703,-1.495315558,0.691366755
16-12-2025 19:57,86844.91276,0.24518,2931.075,0.4642,2990.922384,-1.130470474,0.700338578
16-12-2025 19:57,86846.8492,0.16044,2931.14,0.7508,2990.999266,-1.059591927,0.715095645
16-12-2025 19:57,86853.01382,3.1846,2931.231429,6.2628,2994.548246,-0.652959619,0.741113306
16-12-2025 19:57,86860.1112,0.4184,2931.359474,0.1568,2997.982428,-0.261725978,0.774491074
